長く冷戦の象徴となった、東ドイツによって築かれた巨大な壁は何？,ベルリンの壁,フェッセンの壁,ミュンヘンの壁,ベルリンの壁,フランクフルトの壁
2つの相反する事柄の間で板挟みになることを何という？,ジレンマ,ジレンマ,グランマ,オニヤンマ,コンマ
「秘密の話がそのまま他の人の耳に入ること」を意味する言葉はどれ？,筒抜け,間抜け,筒抜け,底抜け,腰抜け
仕事と私生活の両立を意味する言葉「◯◯◯・ライフ・バランス」。◯◯◯は何？,ワーク,ワーク,ワープ,ワーム,ワード
ことわざ「弘法にも筆の誤り」の「弘法」が指す僧侶は誰？,空海,最澄,道元,親鸞,空海
物事がぴったりと当てはまる様子を意味する言葉はどれ？,うってつけ,とってつけ,もってつけ,うってつけ,おってつけ
ヨーロッパ大陸の北西に位置するアイルランド島を領有している国は、アイルランドとどこ？,イギリス,ギリシャ,トルコ,イギリス,フランス
JRの乗車券で、8人以上が同じルートを旅行するときの割引を何という？,団体割引,介護割引,乗継割引,学生割引,団体割引
「和を以て貴しとなす」などの条文で知られる、604年に聖徳太子が定めた成文法は何？,十七条の憲法,十一条の憲法,十三条の憲法,十五条の憲法,十七条の憲法
選挙の際、候補者名や政党名を書いて出すことを何という？,投票,入票,出票,放票,投票
毎年冬に北海道札幌市で行われる、様々な雪像の展示される祭りは何？,さっぽろ雪まつり,さっぽろ霜まつり,さっぽろ冬まつり,さっぽろ雪まつり,さっぽろ氷まつり
事前に準備すれば失敗しないという意味のことわざ「転ばぬ先の◯」。◯は何？,杖,杖,流,死,笞
第一次世界大戦の「ソンムの戦い」で、世界で初めてイギリス軍が用いたとされる兵器はどれ？,戦車,水車,電車,馬車,戦車
首都候補地だったシドニーとメルボルンの間をとって首都に決まったオーストラリアの都市はどこ？,キャンベラ,キャンベラ,アデレード,バース,ブリスベン
ある動物を極端に好んでいたことにちなむ江戸幕府の5代将軍・徳川綱吉のあだ名といえば何？,犬公方,牛公方,猫公方,犬公方,馬公方
「とても理解力がある」という意味のことわざはどれ？,一を聞いて十を知る,四を聞いて万を知る,三を聞いて千を知る,一を聞いて十を知る,二を聞いて百を知る
日本の運転免許を3つに分けると、第一種免許、第二種運転免許と何？,仮運転免許,偽運転免許,未運転免許,仮運転免許,安運転免許
新年のお祝いのために知人に送る手紙は何？,年賀状,書中見舞い,快気祝い,年賀状,寒中見舞い
将棋で角行が成ると何になる？,龍馬,龍鹿,龍犬　,龍馬,龍牛
地球で、北半球と南半球の境のことを何という？,赤道,青道,赤道,黒道,緑道
お菓子の「ポップコーン」の原料は何？,トウモロコシ,麦,トウモロコシ,米,ミルク
